Date,Price,Open,High,Low,Vol.,Change %
29-Nov-19,92.5,92.7,92.7,91.8,86.97K,-0.11%
2-Dec-19,92,92.55,93.8,91,23.76K,-0.54%
3-Dec-19,91.8,92.5,92.5,91.2,30.39K,-0.22%
4-Dec-19,93,91.8,93.8,91.6,162.34K,1.31%
5-Dec-19,91.7,93,93.35,91.3,46.60K,-1.40%
6-Dec-19,92,92.8,92.8,91.2,65.62K,0.33%
9-Dec-19,91.4,92,92.4,91,84.97K,-0.65%
10-Dec-19,91.35,91.5,91.85,91.1,71.66K,-0.05%
11-Dec-19,91,91.35,91.35,89.85,50.36K,-0.38%
12-Dec-19,89,90,90.45,89,107.94K,-2.20%
13-Dec-19,92.4,89.95,92.4,89.95,78.83K,3.82%
16-Dec-19,89.55,92.3,92.3,89.45,58.57K,-3.08%
17-Dec-19,91.2,89.55,93.4,89.5,92.97K,1.84%
18-Dec-19,92.65,93,93,92,124.93K,1.59%
19-Dec-19,90.7,92.65,92.65,90,32.38K,-2.10%
20-Dec-19,90.4,92.5,92.5,90.4,59.30K,-0.33%
23-Dec-19,88.9,90.4,92,88.9,316.17K,-1.66%
26-Dec-19,89.85,90,90,89.2,186.63K,1.07%
27-Dec-19,89.5,89.85,89.85,89.45,141.27K,-0.39%
2-Jan-20,88,89.5,90.45,88,67.47K,-1.68%
3-Jan-20,87.95,88,91,87,456.57K,-0.06%
6-Jan-20,87,88,88,86.4,314.61K,-1.08%
7-Jan-20,87.2,87,88,87,478.03K,0.23%
8-Jan-20,86.65,87,87,86.55,420.37K,-0.63%
9-Jan-20,87.2,86.65,88.15,86.65,434.14K,0.63%
10-Jan-20,86.55,87.3,87.5,86.55,214.28K,-0.75%
13-Jan-20,86.55,87.3,87.5,86.55,214.28K,0.00%
14-Jan-20,88.85,87.15,89,87.15,163.29K,2.66%
15-Jan-20,88.7,88.5,88.85,88.45,52.40K,-0.17%
16-Jan-20,87,88.7,88.8,87,55.42K,-1.92%
17-Jan-20,87,86.9,88.7,86.9,88.96K,0.00%
20-Jan-20,86.5,87.5,87.8,86.45,459.08K,-0.57%
21-Jan-20,86,86.4,86.5,86,82.90K,-0.58%
22-Jan-20,86,86,86,84.95,179.89K,0.00%
23-Jan-20,83,85.75,86,82.6,215.14K,-3.49%
24-Jan-20,83.8,83,84.95,83,17.79K,0.96%
27-Jan-20,83.05,83.8,83.8,82.8,139.12K,-0.89%
28-Jan-20,83,83.4,83.5,82.6,70.36K,-0.06%
29-Jan-20,79.7,83,83,79.45,992.24K,-3.98%
30-Jan-20,77.8,79.7,79.8,77.8,171.41K,-2.38%
31-Jan-20,75,77.5,77.55,71.5,695.21K,-3.60%
3-Feb-20,74,75,75,73.9,572.14K,-1.33%
4-Feb-20,74.8,74,75.95,74,647.21K,1.08%
5-Feb-20,79,75,79.95,75,77.23K,5.61%
6-Feb-20,82.3,80,84,80,69.21K,4.18%
7-Feb-20,79.5,84,84,78.5,92.66K,-3.40%
10-Feb-20,80,79.65,82.45,79.6,33.93K,0.63%
11-Feb-20,82.95,80.6,82.95,79,122.87K,3.69%
12-Feb-20,80.2,82.8,82.8,79.3,194.50K,-3.32%
13-Feb-20,78,80.2,80.2,77.05,177.24K,-2.74%
14-Feb-20,78.5,79,80,78,55.89K,0.64%
17-Feb-20,80.3,79.1,81,79.05,34.04K,2.29%
18-Feb-20,80.3,80.5,80.6,79.5,97.76K,0.00%
19-Feb-20,80,80.3,80.6,79.5,375.55K,-0.37%
20-Feb-20,80.75,80,81,79.65,71.02K,0.94%
21-Feb-20,79.8,81,82,79.65,108.87K,-1.18%
24-Feb-20,76.25,79.6,79.75,76.25,138.66K,-4.45%
26-Feb-20,76.8,76.2,76.95,74,114.77K,0.72%
27-Feb-20,76.9,76.8,76.9,76.2,295.22K,0.13%
28-Feb-20,73.55,76.9,78.05,73,182.00K,-4.36%
2-Mar-20,73.2,73,76.45,72.65,137.96K,-0.48%
3-Mar-20,77.1,73.25,78,73.25,147.18K,5.33%
4-Mar-20,74.75,77.1,77.2,73.5,130.12K,-3.05%
5-Mar-20,74.95,74.75,75.65,74.75,17.66K,0.27%
6-Mar-20,71.3,74.95,74.95,71.25,179.37K,-4.87%
